2010/10/3,Bulls,,Carlos Boozer,fractured bone in right pinky finger (out indefinitely)
2010/10/6,Pistons,,Jonas Jerebko,torn right Acchilles tendon (out indefinitely)
2010/10/6,Pistons,,Terrico White,broken fifth metatarsal in right foot (out indefinitely)
2010/10/8,Blazers,,Jeff Pendergraph / Jeff Ayres,torn ACL in right knee (out indefinitely)
2010/10/8,Nets,,Troy Murphy,strained lower back (out indefinitely)
2010/10/8,Pistons,,Jonas Jerebko,surgery to repair torn right Achilles tendon
2010/10/8,Pistons,,Terrico White,surgery on right foot to repair broken fifth metatarsal
2010/10/9,Nuggets,,Al Harrington,partially torn plantar fascia in left foot (out indefinitely)
2010/10/12,Bucks,,Darington Hobson,surgery on left hip (out for season)
2010/10/12,Kings,,Samuel Dalembert,strained left groin (out indefinitely)
2010/10/17,Bobcats,,Dominic McGuire,stress fracture in left shin (out indefinitely)
2010/10/18,Warriors,,Louis Amundson / Lou Amundson,surgery to repair fractured right index finger (out indefinitely)
2010/10/19,Suns,,Josh Childress,fractured right index finger (out indefinitely)
2010/10/22,Heat,,Mike Miller,surgery on right hand to repair a broken thumb and ligament damage (out indefinitely)
2010/10/25,Thunder,,Nick Collison,left knee injury (out indefinitely)
2010/10/25,Timberwolves,,Martell Webster,surgery on back (out indefinitely)
2010/10/26,Heat,,Mario Chalmers,sprained ankle (out indefinitely)
2010/11/4,Blazers,,Elliot Williams,"dislocated patella in right knee (surgery, out for season)"
2010/11/11,Spurs,,James Anderson,stress fracture in right foot (out indefinitely)
2010/11/11,Warriors,,David Lee,placed on IL with infection in left elbow
2010/11/12,Warriors,,David Lee,surgery on left elbow to repair infection
2010/11/19,Blazers,,Greg Oden,mircofracture surgery on left knee (out for season)
2010/11/23,Heat,,Udonis Haslem,surgery on left foot to repair torn ligament (out for season)
2010/11/24,Celtics,,Delonte West,broken right wrist (out indefinitely)
2010/11/26,Raptors,,Reggie Evans,broken right foot (out indefinitely)
2010/11/30,Celtics,,Delonte West,surgery to repair broken right wrist
2010/12/2,Hawks,,Joe Johnson,arthroscopic surgery on right elbow to remove loose particle (out indefinitely)
2010/12/13,Nets,,Damion James,surgery to insert screw to repair broken right foot (out indefinitely)
2010/12/15,Bulls,,Joakim Noah,torn ligament in right thumb (out indefinitely)
2010/12/15,Wizards,,Yi Jianlian / Jianlian Yi,sprained right knee (out indefinitely)
2010/12/16,Bulls,,Joakim Noah,surgery on right thumb to repair torn ligament (out indefinitely)
2010/12/16,Rockets,,Yao Ming,stress fracture in left ankle (out for season)
2010/12/20,Clippers,,Craig Smith,back injury (out indefinitely)
2010/12/23,Magic,,Daniel Orton,arthroscopic surgery on left knee (out for season)
2010/12/30,Rockets,,Chuck Hayes,sprained right ankle (out indefinitely)
2010/12/31,Cavaliers,,Anderson Varejao,fractured cheekbone (out indefinitely)
2010/12/31,Warriors,,Brandan Wright,strained lower back (out indefinitely)
2011/1/3,Knicks,,Danilo Gallinari,sprained left knee (out indefinitely)
2011/1/4,Mavericks,,Caron Butler,surgery on right knee to repair torn patella tendon (out for season)
2011/1/5,Bobcats,,DeSagana Diop,surgery to repair ruptured right Achilles tendon (out for season)
2011/1/5,Bucks,,Brandon Jennings,surgery on left foot (out indefinitely)
2011/1/6,Suns,,Gani Lawal,torn ACL and partially torn MCL in right knee (out for season)
2011/1/7,Cavaliers,,Anderson Varejao,torn tendon in right ankle (out for season)
2011/1/7,Rockets,,Yao Ming,surgery on left ankle to repair stress fracture (out for season)
2011/1/8,Lakers,,Matt Barnes,torn cartilage in right knee (out indefinitely)
2011/1/11,Lakers,,Matt Barnes,surgery on right knee to repair torn lateral meniscus (out indefinitely)
2011/1/17,Blazers,,Brandon Roy,arthroscopic surgery on both knees (out indefinitely)
2011/1/20,Blazers,,Marcus Camby,arthroscopic surgery on left knee to repair torn meniscus
2011/1/22,Magic,,Jason Williams,foot injury (out indefinitely)
